date,open,close
2017-08-17,4436.06,4325.23
2017-08-18,4320.52,4136.28
2017-08-21,4023.11,4027.05
2017-08-22,3866.48,3984.24
2017-08-23,4205.98,4117.07
2017-08-24,4211.78,4216.07
2017-08-25,4361.27,4307.17
2017-08-28,4309.0,4321.65
2017-08-29,4368.5,4555.55
2017-08-30,4537.0,4536.82
2017-08-31,4674.97,4698.77
2017-09-01,4775.0,4813.24
2017-09-05,4248.64,4442.48
2017-09-06,4544.59,4619.43
2017-09-07,4616.79,4754.21
2017-09-08,4653.92,4190.01
2017-09-11,4191.54,4182.27
2017-09-12,4343.01,4165.5
2017-09-13,3831.01,3879.81
2017-09-14,3481.02,3370.0
2017-09-15,2870.9,3702.66
2017-09-18,3932.98,3969.48
2017-09-19,3969.32,3890.01
2017-09-20,3927.77,3962.93
2017-09-21,3862.99,3605.03
2017-09-22,3528.36,3590.0
2017-09-25,3781.05,3930.36
2017-09-26,3950.0,3906.13
2017-09-27,4072.2,4190.0
2017-09-28,4170.19,4149.99
2017-09-29,4234.99,4179.99
2017-10-02,4419.99,4419.94
2017-10-03,4290.0,4235.01
2017-10-04,4230.0,4173.11
2017-10-05,4226.05,4327.63
2017-10-06,4391.11,4379.73
2017-10-09,4615.0,4787.49
2017-10-10,4790.01,4911.0
2017-10-11,4804.93,4872.1
2017-10-12,5184.0,5312.43
2017-10-13,5658.97,5558.99
2017-10-16,5739.96,5703.27
2017-10-17,5579.89,5622.06
2017-10-18,5283.98,5382.98
2017-10-19,5710.0,5609.0
2017-10-20,5662.75,6060.54
2017-10-23,5881.98,5880.82
2017-10-24,5680.0,5635.07
2017-10-25,5469.99,5580.07
2017-10-26,5845.03,5834.38
2017-10-27,5843.03,5740.0
2017-10-30,6179.92,6111.58
2017-10-31,6223.41,6329.98
2017-11-01,6613.92,6622.99
2017-11-02,6887.66,6981.9
2017-11-03,7230.95,7234.0
2017-11-06,7324.97,7028.95
2017-11-07,7160.54,7059.78
2017-11-08,7406.47,7070.0
2017-11-09,7076.0,7130.0
2017-11-10,6831.2,6526.31
2017-11-13,6426.03,6366.97
2017-11-14,6410.03,6532.06
2017-11-15,6998.0,7182.0
2017-11-16,7380.53,7735.96
2017-11-17,7769.17,7799.37
2017-11-20,8066.98,8237.77
2017-11-21,8252.25,8109.83
2017-11-22,8270.12,8199.98
2017-11-24,8165.0,8224.98
2017-11-27,9485.02,9499.99
2017-11-28,9919.61,9899.99
2017-11-29,10798.53,9306.0
2017-11-30,9610.01,9761.0
2017-12-01,9960.01,10529.1
2017-12-04,11120.7,11149.25
2017-12-05,11652.0,11694.0
2017-12-06,12620.0,13054.99
2017-12-07,13799.95,15007.01
2017-12-08,14849.99,15199.96
2017-12-11,16052.05,16999.0
2017-12-12,16600.0,16514.0
2017-12-13,15851.07,15678.66
2017-12-14,16098.95,16350.0
2017-12-15,17900.0,17636.98
2017-12-18,19116.11,18590.0
2017-12-19,17214.2,17622.26
2017-12-20,17253.0,16782.0
2017-12-21,16491.0,14700.94
2017-12-22,13449.1,13178.0
2017-12-26,14844.0,15787.88
2017-12-27,15570.11,14793.25
2017-12-28,13578.98,13736.43
2017-12-29,14290.0,14640.7
2018-01-02,13490.0,14732.75
2018-01-03,14764.73,14700.01
2018-01-04,14539.99,14895.19
2018-01-05,16090.7,16593.01
2018-01-08,15414.0,15196.55
2018-01-09,14726.0,14717.82
2018-01-10,13919.09,14349.98
2018-01-11,13385.1,13430.16
2018-01-12,13900.02,13717.0
2018-01-16,12140.0,11064.52
2018-01-17,9850.76,10390.0
2018-01-18,11413.78,11541.94
2018-01-19,11535.18,11160.5
2018-01-22,11240.0,10540.71
2018-01-23,10143.01,10952.98
2018-01-24,11111.0,11235.28
2018-01-25,11215.0,11237.57
2018-01-26,10510.0,10933.0
2018-01-29,11272.01,11283.81
2018-01-30,11050.34,10399.99
2018-01-31,10294.97,10114.27
2018-02-01,9591.45,8941.94
2018-02-02,8299.75,8699.72
2018-02-05,7572.32,6698.33
2018-02-06,6559.0,7544.93
2018-02-07,8138.05,8130.81
2018-02-08,8138.05,8130.81
2018-02-09,8288.03,8633.15
2018-02-12,8640.01,8792.76
2018-02-13,8525.08,8616.04
2018-02-14,8929.96,9239.36
2018-02-15,9560.01,10110.75
2018-02-16,9796.01,10030.66
2018-02-20,11408.88,11668.0
2018-02-21,10948.02,10385.5
2018-02-22,10260.0,10027.7
2018-02-23,10180.06,10033.0
2018-02-26,9708.0,10238.62
2018-02-27,10698.97,10697.0
2018-02-28,10574.13,10560.02
2018-03-01,10671.93,10880.0
2018-03-02,10898.95,10937.0
2018-03-05,11515.0,11669.08
2018-03-06,10936.0,10707.0
2018-03-07,10635.6,9844.18
2018-03-08,9902.98,9357.86
2018-03-09,8933.91,8770.0
2018-03-12,9837.04,8927.0
2018-03-13,9049.47,9069.3
2018-03-14,8675.08,8285.97
2018-03-15,8235.0,8203.03
2018-03-16,8182.07,8536.17
2018-03-19,8330.0,8395.81
2018-03-20,8517.44,8950.0
2018-03-21,9063.0,8862.92
2018-03-22,8645.0,8610.99
2018-03-23,8509.99,8623.99
